label,review
1,#开讲啦#【@?敬? 开讲-精彩视频提前看】[唱歌]青年代表@0魏一宁0 现场演唱原创歌曲，评委萧敬腾表示：“我一直很珍惜，能够创造出希望和生命的人，你拥有这样的能力。”很高的评价哦~[鼓掌]听完魏童鞋的演唱，你给他打几分？[思考]@萧敬腾中文网 @萧敬腾贴吧 @魏一宁全国后援会 http://t.cn/zRlr8j6
1,水知日照大型【水秀】在奥林匹克水上运动中心表演，非常震撼非常曼妙[太开心]锦上添花的是 7月19日-8月18日水上公园太阳广场举办“海洋音乐嘉年华暨2013中国?日照海洋国际音乐节”点燃太阳城夜生活，心动哇[心]@日照市旅游局官方微博@日照旅游王立新@日照旅游-日出先照当属日照@日照旅游咨询网
1,谢谢亲爱的[爱你] 今天是我的2周岁生日~其实有你陪伴的每一天，都像过生日一样快乐。百度旅游，会在新的一岁里，更好用、更贴心、更温暖...[爱心传递]
1,"你说的“你丫""，指大萝卜还是大卫？再说吧，有儿子，跟是否结婚，有必然关系吗？[思考] //@SCC非马:你丫都结婚了[吃惊] //@卜了个迷的:[哈哈][哈哈]"
1,很不错得内~~[鼓掌]//@璨music: @刘莎莎是个好同志 @丽江勇哥 @录音师秦洋 @吕一品718 @杨亚音乐教室 @张倩ANGELLA //@璨music:《重庆的味道》@飞哥-重庆 民乐指导 @冯博-Mix 混音指导 @ksying @丁小奈 @七见的影像厅 给力的彩蛋 璨乐团成员@TONY-GUITAR @YOGA_伍先生 倾情演绎 @璨音文化 荣誉出品！
0,[泪]，我下次要跟兔总单约，我还没来得及拍合影涅！
0,看了她的??表示??天上?梯很後怕，睡不著?...[泪]
1,普大喜奔[偷笑]高大上的活动又来啦，百动网#春运来了#送土豪金啦[给力][给力][神马]路过的小伙伴，请帮忙转发下[爱你]谁幸运被抽到了，借给我玩几天好吗？？ @周晴紫Zhouey @尹姗姗 @孙美斯 @AI0JOLIN小喵 @白晓萌_小布
0,虽然一二期我都没中奖，但我依然充满希望[泪][泪]。@胡滨微博 @崇记杂货铺 @盛博 @嘉佳
1,有草莓吃！老香啦！[馋嘴]俺婆婆特地为我准备的点心[可爱]嫁到好人家啦[耶]装草莓的碗好可爱粉色波点[害羞]俺妈看了我今天发的微博狂笑我往自己脸上贴金[挖鼻屎][嘻嘻]
0,咳嗽刚好些，喉咙又痛了[泪][抓狂][抓狂][抓狂]求老天垂怜，表让我一直病怏怏的[泪]
1,当然可以，我去泰国签证就是淘宝办的，所以说是万能的淘宝啊！[嘻嘻]//@邓庆旭:还可以这样啊
0,"#温馨提示#亲爱的旅客朋友们，由于今日凌晨海口大雾天气，导致多个航班无法正常降落而备降在临近地机场。今日多个航班延误或者取消，让亲们受苦了[泪]！！请出行的亲们关注海南航空官方微信【HNairlines】,输入航班号即可获得航班动态。"
0,费雯丽啊啊啊啊美cry[悲伤]@狐狸狸狐狸狸狐狸狸
1,[给力]//@灯湖泛舟: 亲，你去凑热闹吗？[鼓掌]@武旭峰 @秦岭山虎 @梦里星云 @梦绕丁香 @佛山斗士 @南粤京皇 @游凯淇 @陈家大小姐文文 @静水致远
0,第一次办退税竟然是买的奥运纪念品[泪]
1,哈哈? //@欧阳爽儿:[哈哈][哈哈][哈哈] //@张龙京太郎:转发微博
